id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958199983873241221,Oasis Garden Apt w/Queen Bed,172539578,David Yisrael,,FIFTEENTH WARD,42.678962799458816,-73.81724461913109,Entire home/apt,116,3,19,2024-12-17,1.01,4,246,12,
963920695464462572,Comfy studio in heart of Albany,189586864,Justin,,SIXTH WARD,42.65241,-73.77002,Entire home/apt,89,1,100,2025-05-30,4.61,1,352,66,
965313684808466476,Historic Brownstone in Downtown Albany,533703131,Abel,,THIRD WARD,42.656658760865334,-73.74939680099487,Entire home/apt,,1,6,2025-05-10,2.90,1,0,6,
966287799980701967,"Modern 2-bed Apt / Hospitals, SUNY, State Office",374765317,Tanjin,,FIFTEENTH WARD,42.67059,-73.81678,Entire home/apt,136,28,21,2025-01-01,1.01,1,144,14,
969886763377526954,Abba House historic Retreat - 1st Floor Queen Bed,382970529,Thomas,,FOURTEENTH WARD,42.66877,-73.79927,Private room,55,1,123,2025-06-01,6.29,15,320,108,
980034348801186320,Chic Madison Parkview,241123402,JShing,,SIXTH WARD,42.65312775001394,-73.76950465142727,Entire home/apt,91,1,25,2025-05-28,1.24,1,300,14,
983306819910081094,The House That Pat Built,114183978,Tyrell,,FIFTH WARD,42.66628,-73.76512,Entire home/apt,116,2,4,2024-04-18,0.20,1,76,0,
989010058281318863,Modern 1BR in a great location,75667477,Ahmad,,THIRD WARD,42.65515515851637,-73.76052582647431,Entire home/apt,77,30,7,2025-04-20,0.34,1,218,5,
992119832780871644,Two bedroom close to colleges!,152762198,Allen,,FOURTEENTH WARD,42.67098,-73.80695,Entire home/apt,100,3,18,2025-05-19,0.88,9,239,6,
992554549672159765,"Beautiful  5 bedrm , 3.5 bathroom, private parking",476189412,Timothy,,SEVENTH WARD,42.64485687096462,-73.77281881169621,Entire home/apt,222,2,9,2025-05-25,0.55,1,45,3,
993431459821117738,Albany 3 Bedroom Apt. Sleeps 6,309980121,Ron,,SIXTH WARD,42.65623,-73.7641152,Entire home/apt,,14,12,2024-02-29,0.60,1,0,0,
999161887055542119,"Spacious Apartment Downtown Albany, NY",531209536,Amar,,THIRD WARD,42.65762,-73.75116,Entire home/apt,90,1,35,2025-06-01,1.75,2,191,24,
1004978540001566331,Elegant Albany Retreat | Mins to D/T & UAlbany,31318080,Cindy,,EIGHTH WARD,42.6555,-73.81066,Entire home/apt,163,2,55,2025-05-26,3.44,1,223,45,
1005978346817864540,Massive 4BD/3BA 2-Fl Townhouse Apt Downtown Albany,44434571,Earl,,SECOND WARD,42.64534889999999,-73.75364650000002,Entire home/apt,196,1,64,2025-06-03,3.25,9,342,44,
1007354086435981132,Top floor w/off street parking,232967878,Diana,,TENTH WARD,42.66091,-73.78453,Entire home/apt,,1,37,2025-05-19,1.90,22,0,16,
1010759793485911351,Abba House Historic Retreat - 3rd Flr Twin Bed,382970529,Thomas,,THIRTEENTH WARD,42.67003,-73.79771,Private room,51,1,64,2025-05-25,3.28,15,296,33,
1010759799610182054,Abba House historic Retreat - 3rd Floor Single Bed,382970529,Thomas,,THIRTEENTH WARD,42.66971,-73.79755,Private room,51,1,70,2025-06-05,3.60,15,353,41,
1012862218478447339,Centrally Located 4 Story Manor,382970529,Thomas,,THIRTEENTH WARD,42.669899245465515,-73.7977031057611,Entire home/apt,1280,1,0,,,15,293,0,
1013659440189111738,Abba House Historic Retreat - 2nd Floor Full Bed,382970529,Thomas,,FOURTEENTH WARD,42.66873,-73.7993,Private room,59,1,22,2025-01-16,1.13,15,317,6,
1015385216942267174,纽约州首府的温馨小屋,182509542,Yan,,NINTH WARD,42.6558992,-73.7965699,Private room,24,1,0,,,1,60,0,
1016050146219474145,Heart of Albany - Downtown Near Everything,42708277,Rodney,,SIXTH WARD,42.65539,-73.76416,Entire home/apt,70,1,41,2025-05-09,2.11,7,33,29,
1018268869882592471,Spacious Townhouse Walking Distance from Downtown,528617680,Paola,,SECOND WARD,42.6459,-73.75828,Entire home/apt,102,1,1,2025-01-23,0.22,2,40,1,
1018295677909928470,"Cozy Room w/ Walk-In Closet, Hot Tub and Coffee!",382970529,Thomas,,FOURTEENTH WARD,42.66792031298625,-73.79895760671212,Private room,56,1,16,2024-03-03,0.84,15,253,0,
1018299533220989494,Abba House Historic Retreat - 2nd Floor Queen Bed,382970529,Thomas,,THIRTEENTH WARD,42.66996,-73.79816,Private room,67,1,86,2025-06-01,4.48,15,350,48,
1018972187574908115,1 Comfy Bedroom Across the Park,37769478,Erion,,SIXTH WARD,42.6535,-73.77046,Entire home/apt,79,1,61,2025-05-22,3.22,11,348,33,
1020518500251473070,Downtown Studio,233515764,Etem,,SECOND WARD,42.64714,-73.75466,Entire home/apt,65,1,142,2025-05-31,7.73,6,237,96,
1020993107237604444,*Beautiful* Spacious Prime DT 1 Bedroom Apt w GYM,47625981,Linda,,THIRD WARD,42.6586,-73.76421,Entire home/apt,107,1,21,2025-05-18,1.12,18,193,16,
1021011347006185640,*Spacious* Modern 1 Bedroom RARE Apt w GYM,47625981,Linda,,THIRD WARD,42.65971,-73.76382,Entire home/apt,107,1,29,2025-05-11,1.57,18,355,17,
1023053182224590019,Great home in Albany,496990578,Brian,,ELEVENTH WARD,42.66838,-73.77868,Entire home/apt,116,1,83,2025-05-25,4.49,1,11,54,
1034722814589239236,"*Huge, bright, private 2Bedroom*",130404008,Michael,,THIRD WARD,42.65711,-73.75133,Entire home/apt,91,14,2,2024-09-01,0.19,1,39,2,
1040624808363695229,Safe - Sweet -Serene - Long Term,42708277,Rodney,,SIXTH WARD,42.65447,-73.76078,Entire home/apt,67,1,48,2025-05-06,2.74,7,50,29,
1043565517982254841,2 bed room Apartment,212885959,Osas,,SECOND WARD,42.63976,-73.75705,Entire home/apt,115,1,19,2025-03-04,1.18,1,68,10,
1051544181986274174,Renovated Cozy 1920’s Apartment,31994990,Gonca,,SEVENTH WARD,42.64478,-73.7764,Entire home/apt,53,28,1,2024-09-30,0.12,2,125,1,
1052381112116173923,Charming Bungalow in Albany!,52464523,Dashima,,FIRST WARD,42.64081,-73.77463,Entire home/apt,114,30,9,2025-04-18,0.51,1,220,6,
1056469473906808728,"Bonjour, Bienvenue A Chez Pierre",553112010,Lynn,,TWELFTH WARD,42.7149,-73.87649,Private room,101,2,1,2024-10-26,0.13,1,268,1,
1061814091773376272,Massive 5BD/4BA 3-Story Duplex @ Downtown Albany,44434571,Earl,,SECOND WARD,42.64418,-73.75316,Entire home/apt,337,1,18,2025-05-17,1.14,9,325,13,
1062527013885315764,"Nighthawk room, private twin near AMC, UAlbany",20536619,Emily,,THIRTEENTH WARD,42.67096,-73.79514,Private room,51,4,12,2025-02-17,0.73,8,130,10,
1073179963201889958,In the heart of Albany,31994990,Gonca,,SEVENTH WARD,42.64473,-73.77641,Entire home/apt,53,20,2,2024-09-02,0.19,2,170,2,
1075444056381274297,The Tangerine Door,542733174,Rebecca,,TWELFTH WARD,42.67908,-73.79505,Entire home/apt,140,2,24,2025-05-11,1.46,1,121,14,
1079742757364810916,Lark St Oasis: Parking & Laundry,119340359,Lori,,SIXTH WARD,42.65531,-73.76449,Entire home/apt,145,2,7,2025-02-06,0.44,2,17,1,
1090781013234004527,Newly renovated cozy apartment !,521669673,Kody,,THIRD WARD,42.65975,-73.76311,Entire home/apt,70,14,1,2024-11-24,0.15,3,241,1,
1091422934956081673,2 bed with parking off Madison,232967878,Diana,,TENTH WARD,42.65988,-73.78486,Entire home/apt,136,2,17,2025-05-18,1.16,22,30,11,
1091500387329731524,Triplex oasis w:parking near MVP,232967878,Diana,,SECOND WARD,42.64409,-73.75709,Entire home/apt,76,2,64,2025-05-18,4.11,22,19,49,
1097201673425863720,Cozy 1-Bedroom Apt in Albany (Entire Apartment),360806709,Gloria,,SEVENTH WARD,42.64149,-73.77925,Entire home/apt,,1,56,2025-03-21,5.44,1,0,56,
1097995825442731795,New Center square studio,232967878,Diana,,SIXTH WARD,42.65269,-73.76567,Entire home/apt,88,2,45,2025-05-02,2.95,22,48,32,
1100876731732967826,"Homey, Quiet 2BR W/ Washer Dryer",152762198,Allen,,FOURTEENTH WARD,42.67008,-73.80691,Entire home/apt,94,3,28,2025-02-19,1.99,9,226,25,
1102984130027939637,Lovely 1 bedroom across the Park,37769478,Erion,,SIXTH WARD,42.65289,-73.76834,Entire home/apt,90,1,50,2025-05-18,3.28,11,346,36,
1105303461851883481,Downtown Brownstone with a View!,14817455,Matt,,THIRD WARD,42.65749,-73.75263,Entire home/apt,184,7,0,,,1,197,0,
1108060100336766656,downtown,539608284,Joyhefsiba,,THIRD WARD,42.66141,-73.76361,Private room,46,30,0,,,1,364,0,
1111221935683053416,Historical Pastures,418250661,Stephanie,,THIRD WARD,42.6564469,-73.7507251,Entire home/apt,99,2,11,2025-05-11,0.74,1,334,6,
1119691401020641385,Serene 1BR Escape: Walk to Eateries & Parks in ALB,472965048,Corey,,SIXTH WARD,42.65348,-73.7637,Entire home/apt,74,1,14,2025-04-03,0.98,2,159,11,
1119844407084108907,1 bed 1 bath Apartment,477328400,Tyler,,SEVENTH WARD,42.64885,-73.76523,Entire home/apt,90,2,38,2025-03-30,2.84,2,168,30,
1120212616553191970,Garden Apt Suite in Historic 1858 Row House + W/D,472965048,Corey,,SIXTH WARD,42.65194,-73.76526,Entire home/apt,87,1,28,2025-04-18,1.93,2,159,17,
1121699903906738345,Cozy apartment in Albany,1761578,Grant,,SIXTH WARD,42.65314,-73.76546,Entire home/apt,90,2,6,2025-02-18,0.42,3,250,4,
1123231471304541808,"Modern townhouse 2 Bedrooms, King Bed, parking",10279606,Noriyuki,,FIFTEENTH WARD,42.66901,-73.82402,Entire home/apt,165,1,49,2025-05-25,3.52,3,342,42,
1124558577325015506,Charming 1BR Near Capitol-Dwntwn,46312980,Robert,,SECOND WARD,42.646032,-73.760482,Entire home/apt,64,3,4,2025-02-17,0.32,2,196,3,
1124632058968031818,Modern Duplex - Historical Home,46312980,Robert,,SECOND WARD,42.646032,-73.760482,Entire home/apt,94,3,5,2025-03-31,0.36,2,82,3,
1128332989288304495,Downtown Albany Vacation Rental - Chic & Walkable!,121680792,Evolve,,THIRD WARD,42.65783832009679,-73.75382158545102,Entire home/apt,135,2,3,2024-07-28,0.25,5,218,3,
1128386510439836615,Welcome home travelers,502037254,Andrew,,SEVENTH WARD,42.64893,-73.76886,Entire home/apt,,25,2,2024-08-03,0.17,3,185,2,
1131258472427093335,"Modern 2 BR near MVP Arena, Colleges, Airport",440509865,John,,FIFTEENTH WARD,42.674853495878494,-73.81692445092622,Entire home/apt,153,1,48,2025-06-01,4.74,1,291,48,
1134940445251354534,Calling all travelers,521669673,Kody,,THIRD WARD,42.65909,-73.75691,Entire home/apt,70,14,2,2025-05-15,0.15,3,196,1,
1135812630237897119,Cozy Bedrooms in Albany,522436003,Adriana,,THIRTEENTH WARD,42.6689614,-73.7890379,Private room,36,28,0,,,3,210,0,
1136433500940918827,"""The LEO Home"" Private Bedroom 1",349460842,Scott,,THIRTEENTH WARD,42.66368,-73.78128,Private room,56,30,0,,,17,337,0,
1141525488442370659,North Allen,522436003,Adriana,,THIRTEENTH WARD,42.6689614,-73.7890379,Private room,,28,0,,,3,215,0,
1142828940864329671,Safe Comfy Cozy 2 bedrooms.,574235481,Lavern,,FIRST WARD,42.64094,-73.7767,Entire home/apt,,2,4,2024-07-06,0.30,1,0,2,
1142832011692120213,Bright & Clean Apartment – August Price Special!,129023424,Riccardo,,THIRTEENTH WARD,42.67105,-73.7995,Entire home/apt,72,7,6,2025-04-13,0.47,1,301,3,
1146241260871564965,Larson Green,233515764,Etem,,SIXTH WARD,42.6524924,-73.7674361,Entire home/apt,88,1,56,2025-05-18,4.21,6,232,50,
1146352622413555849,491 Washington Ave FL1Rare,575030103,Rehan,,ELEVENTH WARD,42.66259,-73.7733,Private room,55,2,20,2025-05-17,1.51,2,248,16,
1147092019793504034,Larson Blue,233515764,Etem,,SIXTH WARD,42.65274,-73.76779,Entire home/apt,87,1,72,2025-06-01,5.36,6,234,62,
1150611568915810847,Albany historic Washington Park,576083630,Joseph,,SIXTH WARD,42.6586049,-73.76803290000001,Entire home/apt,95,2,11,2025-03-30,0.84,1,256,10,
1158059552251999833,"""The Albany Allen Home"" Private Bedroom 1",349460842,Scott,,TENTH WARD,42.66428,-73.79249,Private room,52,28,2,2024-11-29,0.21,17,156,2,
1158239701426064904,Funky loft studio,502037254,Andrew,,THIRD WARD,42.65845,-73.75926,Entire home/apt,80,30,0,,,3,209,0,
1164651175585600815,*Private Entrance* Cozy Apt Bright + Modern W/D,47625981,Linda,,SEVENTH WARD,42.64727,-73.76758,Entire home/apt,107,1,14,2025-05-24,1.22,18,340,14,
1170384250566304506,/An Oasis 8 ppl Yard Grill W/D\,580892646,Crystal,,SECOND WARD,42.64349,-73.75906,Entire home/apt,292,2,2,2024-07-31,0.17,2,12,2,
1171795874799450911,Walk to convention center:Lark St:Capital,232967878,Diana,,SIXTH WARD,42.65314,-73.7653,Entire home/apt,128,1,46,2025-05-22,3.77,22,36,46,
1171885189346375850,/A spacious suite: King/Queen beds Grill WD yard\,580892646,Crystal,,SECOND WARD,42.64462,-73.75764,Private room,200,2,0,,,2,12,0,
1173390858101803102,New near major medical facility,232967878,Diana,,SEVENTH WARD,42.64442,-73.77938,Entire home/apt,213,2,18,2025-05-25,1.66,22,18,18,
1174544643387116469,"Spacious, Modern Gem in Melrose - Pet Friendly",441054845,Thaddeus,,THIRTEENTH WARD,42.66894,-73.79549,Entire home/apt,99,1,55,2025-05-18,4.60,2,205,55,
1182574461437954732,Limited Time Listing,42708277,Rodney,,SIXTH WARD,42.6534205,-73.7639758,Entire home/apt,78,1,25,2025-05-12,2.14,7,56,25,
1183457852972127594,Upscale Listing-Heart of Albany,42708277,Rodney,,SIXTH WARD,42.65227,-73.7646,Entire home/apt,75,1,21,2025-05-15,1.92,7,48,21,
1183460523409924571,Albany Business Class Apartment,42708277,Rodney,,SIXTH WARD,42.6524,-73.76351,Entire home/apt,67,1,17,2025-05-15,1.47,7,47,17,
1184656403266667138,NEW studio w/2 beds near MVP,232967878,Diana,,SECOND WARD,42.64409,-73.75709,Entire home/apt,120,1,16,2025-05-18,1.38,22,29,16,
1185537980724624711,Empire Plaza Apartment,29483818,Ben,,SIXTH WARD,42.65327,-73.76181,Entire home/apt,85,1,130,2025-06-06,11.34,1,86,130,
1185591493744586895,"""The Albany Allen Home"" Private Bedroom 3",349460842,Scott,,FOURTEENTH WARD,42.66612,-73.79275,Private room,65,28,0,,,17,215,0,
1187591175698501325,House near major medical center,232967878,Diana,,NINTH WARD,42.65502,-73.79183,Entire home/apt,168,1,27,2025-05-18,2.39,22,78,27,
1189245100874558445,Beautiful 2 Bedroom with Parking,37769478,Erion,,SIXTH WARD,42.65333,-73.7711,Entire home/apt,113,1,23,2025-05-23,2.60,11,327,23,
1189249179392132534,Lovely 1 Bedroom with Parking,37769478,Erion,,TENTH WARD,42.66215,-73.79048,Entire home/apt,82,1,33,2025-05-19,2.99,11,357,33,
1191895319439613036,"Room in Albany, 4 minutes from AMC",32379616,Fabiola,,TENTH WARD,42.6605291,-73.7831549,Private room,33,28,0,,,5,363,0,
1192795085655166314,Privateroom with shared bathroom for Nurses&grads,382446799,Elizabeth,,NINTH WARD,42.65542,-73.78155,Private room,42,1,6,2025-03-31,0.60,1,249,6,
1196459023545165129,Albany Vacation Rental w/ State Capitol Views!,121680792,Evolve,,SIXTH WARD,42.655732,-73.764735,Entire home/apt,280,5,0,,,5,309,0,
1198592120169206200,"""The LEO Home"" Private Bedroom 2",349460842,Scott,,TENTH WARD,42.66269,-73.78163,Private room,56,30,0,,,17,65,0,
1208695175897245796,"""The Albany Allen Home"" Private Bedroom 5",349460842,Scott,,TENTH WARD,42.6639,-73.7927,Private room,56,28,0,,,17,342,0,
1209313814437527365,"Dali room, private queen near AMC, UAlbany",20536619,Emily,,THIRTEENTH WARD,42.67318,-73.79345,Private room,68,7,2,2024-10-27,0.25,8,88,2,
1210875317904799284,Charming Home,147780154,Julia,,EIGHTH WARD,42.65812,-73.81912,Entire home/apt,199,3,0,,,1,358,0,
1223845635352908531,"493 Washington Ave, Albany 12206, 1st Floor",575030103,Rehan,,ELEVENTH WARD,42.66332540000001,-73.77422550000001,Entire home/apt,108,3,10,2025-06-01,1.26,2,349,10,
1224184445857718550,White Cozy Room,522436003,Adriana,,THIRTEENTH WARD,42.66859,-73.78832,Private room,55,28,2,2025-04-01,0.24,3,295,2,
1227494196390230149,/Audubon Apartment\ 3bed 1bath built1928 Pine Hill,52123673,Joseph,,THIRTEENTH WARD,42.66955,-73.78542,Entire home/apt,158,3,7,2025-05-16,0.77,1,345,7,
1229302903741056027,It's Like a Treehouse,562084689,Antonio,,TENTH WARD,42.66104,-73.77971,Entire home/apt,150,1,14,2025-05-10,1.47,2,159,14,
1229336497403850446,Indigo Bunting Nest,562084689,Antonio,,ELEVENTH WARD,42.66319,-73.77897,Entire home/apt,145,1,33,2025-05-25,3.59,2,340,33,
1230257693323535013,"King Bed, Workspace & Laundry | Center Square Apt",106636448,Daniel,,SIXTH WARD,42.65507161089614,-73.76475094677727,Entire home/apt,115,1,43,2025-05-21,7.09,1,243,43,
1233366548908684664,Larson Gold,233515764,Etem,,SIXTH WARD,42.65173,-73.76786,Entire home/apt,74,1,55,2025-06-01,6.02,6,199,55,
1234376912864523021,Spacious Garden Apt in Center Square,564967431,Stephanie,,SIXTH WARD,42.65046806904435,-73.7643479581064,Entire home/apt,82,2,2,2024-10-28,0.26,2,313,2,
1237963668912797614,Tasteful…in more ways than one!,382970529,Thomas,,SIXTH WARD,42.655070571714035,-73.76151133328676,Entire home/apt,74,4,27,2025-04-24,3.09,15,93,27,
1240621479377945523,Private suite with separate entrance in Mansion,412416973,Virginia,,SECOND WARD,42.64566906803636,-73.75883447708878,Private room,44,1,7,2025-01-28,0.93,1,253,7,
1242227342075722524,Nice room in downtown albany,594734396,Abdelrahman,,SECOND WARD,42.6425,-73.75889,Private room,73,1,32,2025-06-03,3.76,2,301,32,
1246452851774715158,Room close to AMC and St peter,652223872,Umit,,TENTH WARD,42.65941683202992,-73.78360267728567,Private room,52,3,4,2024-12-23,0.50,1,297,4,
1252203595666312568,"""The Albany Allen Home"" Private Bedroom 4",349460842,Scott,,TENTH WARD,42.665179051217486,-73.79260147965597,Private room,52,28,0,,,17,325,0,
1252255960109808438,The Old Lawmaker's Building.,172861174,Vibha,,THIRD WARD,42.6551298,-73.75842949999999,Private room,100,1,7,2025-05-10,0.87,1,351,7,
1252258297385952172,staycation CAP region,38324986,Gregory,,EIGHTH WARD,42.64548739100758,-73.7896032151887,Entire home/apt,285,3,0,,,1,289,0,
1252301211909514289,"""The Albany Allen Home"" Private Bedroom 2",349460842,Scott,,TENTH WARD,42.66555578069533,-73.79269774597833,Private room,52,28,1,2024-11-27,0.15,17,353,1,
1256391301639690602,Lovely 1 bedroom across the park,37769478,Erion,,SIXTH WARD,42.65422976833157,-73.76982577313373,Entire home/apt,88,1,10,2025-03-21,1.20,11,320,10,
1256498995571429533,"""The LEO Home"" Private Bedroom 3",349460842,Scott,,TENTH WARD,42.66226,-73.78221,Private room,52,30,0,,,17,179,0,
1258922176307142144,Cozy Boho 1BR Near Albany Med & St Peter Hospitals,18490980,Jeremy,,SIXTH WARD,42.6544762,-73.7718074,Entire home/apt,83,1,6,2024-12-30,0.74,2,179,6,
1259604917138801047,In Town Convenient Studio | Washington Park Albany,18490980,Jeremy,,SIXTH WARD,42.6551724,-73.76646989999999,Entire home/apt,93,28,8,2025-05-17,1.00,2,174,8,
1264531987910224088,"*Serene* Parkside 2BR Apt: Private Entrance, W/D",47625981,Linda,,SEVENTH WARD,42.64762856666501,-73.76751684061892,Entire home/apt,131,1,25,2025-05-18,3.13,18,335,25,
1265342374507338537,Stylish studio - downtown Albany,564967431,Stephanie,,SIXTH WARD,42.65004675077063,-73.76402178164355,Entire home/apt,68,2,6,2025-03-01,0.80,2,219,6,
1266676779473584420,Row house on the park,1017349,Chris,,SIXTH WARD,42.65319027333566,-73.76970599961155,Private room,75,1,1,2024-10-26,0.13,1,81,1,
1268205616603776750,Central Location 1 Bed 1 Bath With Parking,270608641,Enkelejda,,SIXTH WARD,42.65137969505171,-73.76947069212083,Entire home/apt,80,1,15,2025-05-19,2.05,2,356,15,
1269145433396830936,King Bed in Spacious Aparment Close to Everything,382970529,Thomas,,THIRTEENTH WARD,42.66916459999999,-73.79776079999999,Private room,49,2,5,2025-05-10,0.66,15,296,5,
1273861365984558378,Short term across from UAlbany,658588120,Melinda,,TWELFTH WARD,42.686850591818136,-73.81405551801146,Entire home/apt,,365,0,,,1,358,0,
1273958657689116365,3 Bedroom Cozy Ranch,57127782,Deanna,,FIFTEENTH WARD,42.673155,-73.8203654,Entire home/apt,164,1,34,2025-06-03,4.55,1,175,34,
1274613024891750632,Two bedroom apartment in the heart of Albany,32379616,Fabiola,,THIRD WARD,42.66487530937626,-73.76730339028755,Entire home/apt,102,28,0,,,5,360,0,
1277717926531215616,Large Center Sq Luxury Retreat.,65760,Anthony,,SIXTH WARD,42.6497616,-73.7645287,Entire home/apt,188,4,2,2025-05-18,1.15,1,158,2,
1279781671588026640,Spacious & Quiet Townhouse Near Legislative Center,528617680,Paola,,SECOND WARD,42.6453112779392,-73.75793399720892,Private room,,1,6,2025-02-19,0.82,2,0,6,
1284151940120079993,Spacious 4-Bedroom Home with Modern Amenities,653956114,Michael,,TENTH WARD,42.66203830172302,-73.78922093804118,Entire home/apt,178,2,18,2025-06-08,3.88,1,163,18,
1284983740417509877,Cowen Residence Hospitality.,661066080,Conseta,,FOURTH WARD,42.67445142837617,-73.73835701264711,Entire home/apt,92,1,2,2025-05-18,0.42,1,174,2,
1288603783171108127,Lofts at Washington 109 Spacious 1 Bedroom 1 Bath,358619880,Properties By Preston,,THIRD WARD,42.65769853839876,-73.76265861973056,Entire home/apt,90,31,2,2025-02-16,0.41,5,318,2,
1288603840617378795,Lofts at Washington 303 Spacious 1 Bedroom 1 Bath,358619880,Properties By Preston,,THIRD WARD,42.657972465126825,-73.76464632915632,Entire home/apt,127,31,1,2025-03-14,0.34,5,172,1,
1288603902798375521,Lofts at Washington 304 Spacious 1 Bedroom 1 Bath,358619880,Properties By Preston,,THIRD WARD,42.65735001723258,-73.76321831042932,Entire home/apt,127,31,3,2025-03-01,0.47,5,252,3,
1288604046621507922,Washington Lofts 109 Spacious 1 Bedroom 1 Bath,358619880,Properties By Preston,,THIRD WARD,42.65537054523247,-73.76089577263407,Entire home/apt,114,31,1,2024-12-01,0.16,5,268,1,
1288604092723663347,Lofts at Washington 310 Spacious 1 Bedroom 1 Bath,358619880,Properties By Preston,,SIXTH WARD,42.65678,-73.76367,Entire home/apt,79,31,0,,,5,200,0,
1289084606313003203,"1 bedroom apt close to hospitals,3min to Albanymed",484673863,Michaela,,TENTH WARD,42.65701240741075,-73.78116252001512,Entire home/apt,73,1,29,2025-06-02,4.26,3,333,29,
1291321613053647042,The Belvedere,571617730,Zinte,,SECOND WARD,42.6445746,-73.7566836,Entire home/apt,342,1,0,,,1,357,0,
1292881870228693830,‘The Blue Home’ Private Bedroom 3 / 1 Full Bath,349460842,Scott,,TENTH WARD,42.66229705990609,-73.78175574496683,Private room,70,30,0,,,17,77,0,
1294330125585979004,Modern Luxury 2 bedroom w/yard,353498132,Michael,,EIGHTH WARD,42.64592834063253,-73.79876141165387,Entire home/apt,186,13,0,,,6,249,0,
1295804289767410494,'The Blue Home' Private Bedroom 1 / 1 Full Bath,349460842,Scott,,THIRTEENTH WARD,42.66345629680885,-73.7818281544101,Private room,121,30,0,,,17,263,0,
1296651761769034648,Room in Albany,663670719,Elhadj,,THIRTEENTH WARD,42.664345438141105,-73.77874573138119,Private room,38,1,9,2025-06-07,2.00,3,190,9,
1296756366433115082,"Room In Albany, NY",663670719,Elhadj,,ELEVENTH WARD,42.66294970341223,-73.7789027115689,Private room,42,1,43,2025-06-02,6.75,3,291,43,
1298067362380112500,Fresh & Modernized 2BR Fl 1 Apt @ Downtown Albany,44434571,Earl,,SECOND WARD,42.64441207268658,-73.7522667363394,Entire home/apt,100,1,20,2025-05-31,3.75,9,334,20,
1298625208863760034,Mid-century Cozy Retreat W/D,47625981,Linda,,SEVENTH WARD,42.64882383528059,-73.7666466200598,Entire home/apt,,1,3,2025-03-09,0.49,18,357,3,
1300644516303671513,Hope On The Hill,341431807,Rakee,,FIRST WARD,42.6310402282283,-73.77196507981581,Entire home/apt,104,1,8,2025-05-18,1.33,1,358,8,
1308084493028885153,‘The Blue Home’ Private Bedroom 2 / 1 Full Bath,349460842,Scott,,TENTH WARD,42.66299894556866,-73.7825558531992,Private room,56,28,0,,,17,303,0,
1308111521841678866,‘The Blue Home’ Private Bedroom 4 / 1 Full Bath,349460842,Scott,,TENTH WARD,42.66239946679698,-73.78271260107455,Private room,56,30,0,,,17,311,0,
1310170283925918533,Private Room In Albany,663670719,Elhadj,,ELEVENTH WARD,42.66375890730826,-73.77674406705056,Private room,51,1,27,2025-06-01,4.76,3,295,27,
1312449079141263102,COZY  house,667142820,Sylvain Marco,,FIFTEENTH WARD,42.6694592,-73.8269249,Entire home/apt,250,30,0,,,1,359,0,
1319619558594743733,Prime Location - 1 Bedroom,559146397,Cathleen,,SIXTH WARD,42.65331,-73.76971,Entire home/apt,75,31,0,,,2,69,0,
1319649416178819713,The Sweet spot,252422913,Dennis,,FIFTEENTH WARD,42.67077854215789,-73.82525054567722,Entire home/apt,106,2,1,2025-04-14,0.53,1,114,1,
1325491259534107672,Walk to Washington Park: Remote Work-Ready Apt!,121680792,Evolve,,SIXTH WARD,42.6551361,-73.7737125,Entire home/apt,101,2,1,2025-05-10,1,5,348,1,
1328247359330291677,The Whisky House,666182267,Tyler,,SIXTH WARD,42.65015,-73.76337,Entire home/apt,170,2,12,2025-05-11,2.90,1,227,12,
1328401906195927790,Top of The Capital,392074908,Jerry,,SIXTH WARD,42.65262,-73.76134,Entire home/apt,103,2,4,2025-04-09,1.15,3,331,4,
1329355205441244604,Albany Prime Location - 1 Bed,559146397,Cathleen,,SIXTH WARD,42.65344807383542,-73.76942854374647,Entire home/apt,83,31,0,,,2,283,0,
1334238579190312184,Charming & Roomy 3BR/1BA Fl 2 Apt @Downtown Albany,44434571,Earl,,SECOND WARD,42.6440750005831,-73.75452790055822,Entire home/apt,108,1,8,2025-06-02,3.33,9,221,8,
1344295935213350424,Business Travelers Retreat,42708277,Rodney,,FOURTH WARD,42.675383658286634,-73.75011739653225,Entire home/apt,83,1,1,2025-05-24,1,7,59,1,
1344899700380628431,Capital City Executive Suites,42708277,Rodney,,FOURTH WARD,42.67796681605566,-73.74887793631504,Entire home/apt,69,1,0,,,7,8,0,
1346801758960246004,Stylish 1BR | Center Sq. Gem!,299638115,Flerida,,SIXTH WARD,42.6556643,-73.7618859,Entire home/apt,71,1,0,,,4,311,0,
1350831900774924999,Cozy Home in Heart of Albany,677372979,Celia,,TWELFTH WARD,42.68507834404223,-73.79764015056868,Entire home/apt,126,7,3,2025-05-01,0.87,1,220,3,
1350872245042831459,Capital City Escape,10279606,Noriyuki,,FIFTEENTH WARD,42.67003713546928,-73.82302715231661,Entire home/apt,149,1,20,2025-05-26,5.26,3,331,20,
1355026548513364492,Traveler’s Haven!,413566290,Victoria,,NINTH WARD,42.655400645597446,-73.79756712300808,Private room,66,2,2,2025-05-19,1.03,1,61,2,
1358581858384454275,Two bedroom apartment in Albany,32379616,Fabiola,,THIRD WARD,42.66526304906058,-73.76716070107956,Entire home/apt,86,28,0,,,5,348,0,
